"region","Befolkning per 1.1. (personer)","Innbyggere per km² landareal","Landareal (km²)"
"Guovdageaidnu - Kautokeino (2020-2023)",2920,0,8969
"Gáivuotna - Kåfjord - Kaivuono",0,0,0
"Gáivuotna - Kåfjord - Kaivuono (1931-2019)",0,0,0
"Gáivuotna - Kåfjord - Kaivuono (2020-2023)",2072,2,950
"Hadsel",8065,15,551
"Halden",0,0,0
"Halden (-2019)",0,0,0
"Halden (2020-2023)",31387,53,595
"Halsa (-2019)",0,0,0
"Haltdalen (-1971)",0,0,0
"Hamar",31509,93,338
"Hamar (-1991)",0,0,0
"Hamar (1992-2019)",0,0,0
"Hamarøy - Hábmer (-2019)",0,0,0
"Hammerfest (-1991)",0,0,0
"Hammerfest (1992-2019)",0,0,0
"Hammerfest - Hámmerfeasta",0,0,0
"Hammerfest - Hámmerfeasta (2020-2023)",11331,4,2558
"Haram",0,0,0
"Haram (-2019)",0,0,0
"Hareid",5140,67,77
"Harstad (-2012)",0,0,0
"Harstad - Hárstták",0,0,0
"Harstad - Hárstták (2013-2019)",0,0,0
"Harstad - Hárstták (2020-2023)",24738,58,428
"Hasvik",0,0,0
"Hasvik (-2019)",0,0,0
"Hasvik (2020-2023)",983,2,534
"Haugesund",37323,549,68
"Havområder",0,0,0
"Hedmark (-2019)",0,0,0
"Hedrum (-1987)",0,0,0
"Heim",5941,6,980
"Hele landet",5391369,18,304055
"Hemne (-2017)",0,0,0
"Hemne (2018-2019)",0,0,0
"Hemnes",4428,3,1430
"Hemsedal",0,0,0
"Hemsedal (-2019)",0,0,0
"Hemsedal (2020-2023)",2546,4,712
"Herefoss (-1966)",0,0,0
"Herøy (Møre og Romsdal)",8858,75,118
"Herøy (Nordland)",1793,28,64
"Hisøy (-1991)",0,0,0
"Hitra",5140,7,715
"Hitra (-2017)",0,0,0
"Hitra (2018-2019)",0,0,0
"Hjartdal",0,0,0
"Hjartdal (-2019)",0,0,0
"Hjartdal (2020-2023)",1561,2,737
"Hjelmeland",2580,3,948
"Hobøl (-2019)",0,0,0
"Hof (-2017)",0,0,0
"Hol",0,0,0
"Hol (-2019)",0,0,0
"Hol (2020-2023)",4434,3,1653
"Hole",0,0,0
"Hole (1977-2019)",0,0,0
"Hole (2020-2023)",6811,50,135
"Holmestrand",0,0,0
"Holmestrand (-2017)",0,0,0
"Holmestrand (2018-2019)",0,0,0
"Holmestrand (2020-2023)",25011,61,412
"Holtålen",1968,2,1170
"Holtålen (1972-2017)",0,0,0
"Hopen naturreservat",0,0,0
"Hordaland (-2019)",0,0,0
"Hornindal (-2019)",0,0,0
"Horten",0,0,0
"Horten (-1987)",0,0,0
"Horten (2002-2019)",0,0,0
"Horten (2020-2023)",27510,399,69
"Hurdal",0,0,0
"Hurdal (-2019)",0,0,0
"Hurdal (2020-2023)",2838,11,261
"Hurum (-2019)",0,0,0
"Hustadvika",13317,26,508
"Hvaler",0,0,0
"Hvaler (-2019)",0,0,0
"Hvaler (2020-2023)",4694,52,90
