"region","median_inntekt"
"Malmheim - Åse",700000
"Lunde - Skjeveland",696000
"Austrått - Høyland",685000
"Hana - Vatne - Gramstad",588000
"Figgjo - Bråstein",690000
"Riska",709000
"Bersagel - Høle",694000
"Forsand",636000
"Sokndal",584000
"Sokndal",584000
"Lund",594000
"Moi",577000
"Hovsherad",631000
"Ualand",604000
"Bjerkreim",681000
"Bjerkreim",681000
"Hå",622000
"Høyland",501000
"Nærbø",628000
"Varhaug",615000
"Vigrestad",642000
"Ogna",651000
"Klepp",655000
"Bore",694000
"Klepp",585000
"Orre",680000
"Tu",679000
"Engelsvoll",724000
"Time",635000
"Bryne",543000
"Rosseland",642000
"Hognestad - Vestly",754000
"Frøyland",671000
"Undheim - Eikeland",730000
"Gjesdal",685000
"Ålgård - Bygda",681000
"Oltedal",698000
"Indre Del",749000
"Sola",692000
"Tananger",717000
"Sola",693000
"Håland",773000
"Dysjaland",659000
"Stangeland",642000
"Røyneberg - Grannes",714000
"Randaberg",679000
"Goa",698000
"Grødem",777000
"Harastad - Rygg",605000
"Viste - Bø - Tunge",666000
"Forsand (-2019)",NA
"Strand",638000
"Jørpeland",619000
"Tau",670000
"Hjelmeland",628000
"Hjelmeland",628000
"Suldal",622000
"Sand",548000
"Suldal",669000
"Erfjord - Jelsa",670000
"Sauda",565000
"Saudasjøen",675000
"Fløgstad",461000
"Åbø",483000
"Ausarheim",736000
"Birkeland",570000
"Finnøy (-2019)",NA
"Rennesøy (-2019)",NA
"Kvitsøy",697000
"Kvitsøy",697000
"Bokn",622000
"Bokn",624000
"Tysvær",661000
"Førdesfjorden",655000
"Tysvær",696000
"Nedstrand",626000
"Karmøy",611000
"Vedavågen",669000
"Sevland",636000
"Åkra",576000
"Ferkingstad",599000
"Skudenes",597000
"Kopervik",590000
"Håvik",601000
"Avaldsnes",578000
"Torvastad",610000
"Fastlandssiden",659000
"Utsira",643000
"Utsira",643000
"Vindafjord (1965-2005)",NA
"Ølen (2002-2005)",NA
"Vindafjord",602000
"Skjold",639000
"Vats",612000
"Sandeid",578000
"Vikedal",601000
"Imsland",617000
"Ølen",575000
"Bjoa - Vikebygd",605000
"Uoppgitt kommune Rogaland",NA
"Vestland",586000
"Hordaland (-2019)",NA
"Bergen",553000
"Kinn",601000
"Etne",586000
"Sveio",625000
"Bømlo",645000
"Stord",606000
"Fitjar",645000
"Tysnes",568000
"Kvinnherad",605000
"Ullensvang",560000
"Eidfjord",591000
"Ulvik",568000
"Voss",575000
"Kvam",600000
"Samnanger",612000
"Bjørnafjorden",648000
"Austevoll",699000
"Øygarden",658000
"Askøy",687000
"Vaksdal",556000
"Modalen",615000
"Osterøy",597000
"Alver",629000
"Austrheim",614000
"Fedje",545000
"Masfjorden",629000
"Gulen",568000
"Solund",606000
"Hyllestad",512000
"Høyanger",559000
"Vik",582000
"Sogndal",608000
"Aurland",557000
"Lærdal",576000
"Årdal",577000
"Luster",586000
"Askvoll",575000
"Fjaler",495000
"Sunnfjord",623000
"Bremanger",566000
"Stad",604000
"Gloppen",595000
"Stryn",566000
"Bergen (1972-2019)",NA
"Arna (-2019)",NA
"Bergenhus (-2019)",NA
"Fana (-2019)",NA
"Fyllingsdalen (-2019)",NA
"Laksevåg (-2019)",NA
"Ytrebygda (-2019)",NA
"Årstad (-2019)",NA
"Åsane (-2019)",NA
"Uoppgitt bydel Bergen (-2019)",NA
"Etne (-2019)",NA
"Ølen (1916-2001)",NA
"Sveio (-2019)",NA
"Bømlo (1916-2019)",NA
"Stord (-2019)",NA
"Fitjar (-2019)",NA
"Tysnes (-2019)",NA
"Kvinnherad (-2019)",NA
"Jondal (-2019)",NA
"Odda (1913-2019)",NA
"Ullensvang (-1976)",NA
"Ullensvang (1977-2019)",NA
"Eidfjord (-2019)",NA
"Ulvik (-2019)",NA
"Granvin (-2019)",NA
"Voss (-2019)",NA
"Kvam (-2019)",NA
"Fusa (-2019)",NA
"Samnanger (1907-2019)",NA
"Os (Hordaland) (-2019)",NA
"Austevoll (-2019)",NA
"Sund (-2019)",NA
"Fjell (-2019)",NA
"Askøy (-2019)",NA
"Laksevåg (1918-1971)",NA
"Fana (-1971)",NA
"Arna (1964-1971)",NA
"Vaksdal (1964-2019)",NA
"Modalen (1910-2019)",NA
"Osterøy (1964-2019)",NA
"Åsane (-1971)",NA
"Meland (1924-2019)",NA
"Øygarden (1964-2019)",NA
"Radøy (1964-2019)",NA
"Lindås (-2019)",NA
"Austrheim (1910-2019)",NA
"Fedje (1948-2019)",NA
"Masfjorden (-2019)",NA
"Uoppgitt kommune Hordaland",NA
"Bergen (-1971)",NA
"Bergen (-1971)",NA
"Sogn og Fjordane (-2019)",NA
"Flora (1964-2019)",NA
"Gulen (-2019)",NA
"Solund (-2019)",NA
"Hyllestad (-2019)",NA
"Høyanger (1964-2019)",NA
"Vik (-2019)",NA
"Balestrand (-2019)",NA
"Leikanger (-2019)",NA
"Sogndal (-2019)",NA
"Aurland (-2019)",NA
"Lærdal (-2019)",NA
"Årdal (-2019)",NA
"Luster (-2019)",NA
"Askvoll (-2019)",NA
"Fjaler (-2019)",NA
"Gaular (-2019)",NA
"Jølster (-2019)",NA
"Førde (-2019)",NA
"Naustdal (-2019)",NA
"Bremanger (-2019)",NA
"Vågsøy (1964-2019)",NA
"Selje (-2019)",NA
"Eid (-2019)",NA
"Hornindal (-2019)",NA
"Gloppen (-2019)",NA
"Stryn (-1976)",NA
"Stryn (1977-2019)",NA
"Uoppgitt kommune Sogn og Fjordane",NA
"Møre og Romsdal",577000
"Ålesund (-1976)",NA
"Molde (-2019)",NA
"Kristiansund  (-2007)",NA
"Ålesund (1977-2019)",NA
"Kristiansund",528000
"Innlandet",539000
"Kirkelandet Sentrum",381000
"Vestre Bydel",391000
"Kringsjå",504000
"Nordre Bydel",528000
"Gomalandet",482000
"Teistholmen",501000
"Nordlandet",483000
"Dale",762000
"Frei",674000
"Rensvik",690000
"Bjerkelund",702000
"Molde",574000
"Haukebøen",589000
"Reknes",497000
"Moldegård",532000
"Fuglset",574000
"Røbekk",640000
"Kleive",553000
"Skåla",652000
"Nesset",578000
"Eresfjord - Vistdal",562000
"Midsund",569000
"Ålesund (2020-2023)",579000
"Hessøy",612000
"Aspøy",403000
"Nørvøy Ytre",428000
"Nørvøy Indre",551000
"Nørvasund",668000
"Åse - Lerstad",650000
"Spjelkavik",558000
"Blindheim",780000
"Emblem",761000
"Ellingsøy",726000
"Fjørtoft - Haram",554000
"Haram",534000
"Vatne",647000
"Hamnsund",657000
"Skodje",682000
"Ørskog",586000
"Sandøy",589000
"Ålesund",NA
"Vanylven",586000
"Vanylven",597000
"Syvde",565000
"Åram",614000
"Sande",543000
"Fastlandet",524000
"Gurskøy",553000
"Herøy (Møre og Romsdal)",625000
"Ytre Herøy 1",599000
"Ytre Herøy 2",718000
"Indre Herøy",613000
"Ulstein",611000
"Ytre Ulstein",598000
"Indre Ulstein",647000
"Hareid",579000
"Hjørungvåg",617000
"Hareid",548000
"Bigset",651000
"Volda (-2019)",NA
"Ørsta",584000
"Hovdebygda",623000
"Ørsta",554000
"Dalane",644000
"Hjørundfjord",576000
"Vartdal",634000
"Ørskog (1977-2019)",NA
"Norddal (-2019)",NA
"Stranda",591000
"Stranda - Liabygda",598000
"Synnylven - Geiranger",563000
"Stordal (-2019)",NA
"Ørskog (-1976)",NA
"Sykkylven",598000
"Sørestranda - Velledalen",631000
"Sykkylven",579000
"Skodje (-2019)",NA
"Sula",637000
"Langevåg",595000
"Indre Sula",691000
"Giske",679000
"Godøy - Giske",702000
"Valderøy",692000
"Vigra",647000
"Haram (-2019)",NA
"Vestnes",564000
"Tomrefjord",578000
"Vestnes",566000
"Tresfjord",556000
"Rauma",548000
"Sørsida",601000
"Nordsida",578000
"Isfjorden",601000
"Romsdalen",497000
"Nesset (-2019)",NA
"Midsund (1965-2019)",NA
"Sandøy (-2019)",NA
"Aukra",601000
"Aukra",602000
"Fræna (-2019)",NA
"Eide (-2019)",NA
"Averøy",618000
"Nordre Averøy",652000
"Indre Averøy",611000
"Vestre Averøy",602000
"Ytre Averøy",579000
"Midtre Averøy",595000
"Frei (-2007)",NA
"Gjemnes",582000
"Ytre Gjemnes",588000
"Indre Gjemnes",580000
"Tingvoll",562000
"Tingvoll",563000
"Straumsnes",562000
"Sunndal",564000
"Sunndal",689000
"Sunndalsøra",509000
"Øksendal",647000
"Ålvundeid - Ålvundfjord",656000
"Surnadal",544000
"Mo",536000
"Ranes",525000
"Øye",599000
"Åsskard",521000
"Stangvik",658000
"Todalen",572000
"Rindal (-2018)",NA
"Aure (-2005)",NA
"Halsa (-2019)",NA
"Tustna (-2005)",NA
"Smøla",521000
"Smøla",521000
"Aure",551000
"Aure",561000
"Tustna",537000
"Volda",566000
"Dalsfjord",601000
"Folkestad - Bjørkedal",566000
"Austefjord",607000
"Volda",543000
"Mork - Berknes",687000
"Hornindal",625000
"Fjord",547000
"Stordal",521000
"Norddal",565000
"Hustadvika",585000
"Stavik - Løset",641000
"Søre Fræna",654000
"Haukås",553000
"Sylte - Malme",621000
"Farstad",564000
"Hustad",590000
"Bud",562000
"Eide",586000
"Haram",NA
"Uoppgitt kommune Møre og Romsdal",NA
"Trøndelag - Trööndelage",561000
"Sør-Trøndelag (-2017)",NA
"Trondheim - Tråante",553000
"Steinkjer (2018-2019)",NA
"Namsos (2018-2019)",NA
"Steinkjer",539000
"Namsos - Nåavmesjenjaelmie",558000
"Hemne (2018-2019)",NA
"Snillfjord (2018-2019)",NA
"Hitra (2018-2019)",NA
"Frøya",549000
"Ørland (2018-2019)",NA
"Agdenes (2018-2019)",NA
"Bjugn (2018-2019)",NA
"Åfjord (2018-2019)",NA
"Roan (2018-2019)",NA
"Osen",502000
"Oppdal",546000
"Rennebu",536000
"Meldal (2018-2019)",NA
"Orkdal (2018-2019)",NA
"Røros - Rosse",539000
"Holtålen",560000
"Midtre Gauldal",554000
"Melhus",613000
"Skaun",675000
"Klæbu (2018-2019)",NA
"Malvik",668000
"Selbu",571000
"Tydal",547000
"Meråker",503000
"Stjørdal",582000
"Frosta",574000
"Levanger - Levangke",578000
"Verdal",541000
"Verran (2018-2019)",NA
"Namdalseid (2018-2019)",NA
"Snåase - Snåsa",549000
"Lierne",555000
"Raarvihke - Røyrvik",533000
"Namsskogan",497000
"Grong",533000
"Høylandet",568000
"Overhalla",627000
"Fosnes (2018-2019)",NA
"Flatanger",588000
"Vikna (2018-2019)",NA
"Nærøy (2018-2019)",NA
"Leka",541000
"Inderøy",599000
"Indre Fosen",551000
"Heim",557000
"Hitra",521000
"Ørland",544000
"Åfjord",550000
"Orkland",557000
"Nærøysund",566000
"Rindal",577000
"Trondheim (-2017)",NA
"Midtbyen (2005-2017)",NA
"Østbyen (2005-2017)",NA
"Lerkendal (2005-2017)",NA
"Heimdal (2005-2017)",NA
"Uoppgitt bydel Trondheim (2005-2017)",NA
"Hemne (-2017)",NA
"Snillfjord (1924-2017)",NA
"Hitra (-2017)",NA
"Frøya (1964-2017)",NA
"Ørland (-2017)",NA
"Agdenes (-2017)",NA
"Rissa (-2017)",NA
"Bjugn (-2017)",NA
"Åfjord (-2017)",NA
"Roan (-2017)",NA
"Osen (-2017)",NA
"Oppdal (-2017)",NA
"Rennebu (-2017)",NA
"Meldal (-2017)",NA
"Orkdal (-2017)",NA
"Røros (-2017)",NA
"Holtålen (1972-2017)",NA
"Haltdalen (-1971)",NA
"Midtre Gauldal (1964-2017)",NA
"Melhus (-2017)",NA
"Skaun (-2017)",NA
"Klæbu (-2017)",NA
"Malvik (-2017)",NA
"Selbu (-2017)",NA
"Tydal (-2017)",NA
"Uoppgitt kommune Sør-Trøndelag",NA
"Nord-Trøndelag (-2017)",NA
"Steinkjer (-2017)",NA
"Namsos (-2017)",NA
"Meråker (-2017)",NA
"Stjørdal (-2017)",NA
"Frosta (-2017)",NA
"Leksvik (-2017)",NA
"Levanger (1962-2017)",NA
"Verdal (-2017)",NA
"Mosvik  (-2011)",NA
"Verran (-2017)",NA
